"file","page_id","component","target","decision","label","description","raw_buttons","raw_inputs","inline_styles"
"resources/js/pages/AccessControl.tsx","access","AccessControl","administration","RENAME","Roles & Access","Roles, permissions, scopes and user access.","2","3","33"
"resources/js/pages/Activity.tsx","activity","Activity","workforce-operations","MOVE","Activity Tracking","Desktop/browser activity evidence and rules.","0","0","10"
"resources/js/pages/Approvals.tsx","approvals","Approvals","work-management","MOVE","Approvals","Unified approval inbox and workflow decisions.","0","0","22"
"resources/js/pages/AppsSites.tsx","apps","AppsSites","workforce-operations","RENAME","Apps & Websites","Application and website activity breakdown.","3","0","38"
"resources/js/pages/Attendance.tsx","attendance","Attendance","time-attendance","KEEP","Attendance","Attendance events, exceptions and policies.","1","0","18"
"resources/js/pages/Automations.tsx","automations","Automations","work-management","MOVE","Automations","Work automation definitions and run history.","1","0","37"
"resources/js/pages/Billing.tsx","billing","Billing","finance-payroll","MOVE","Workspace Billing","Workspace subscription and plan management.","0","0","33"
"resources/js/pages/Chat.tsx","chat","Chat","collaboration","KEEP","Chat","Channels, direct messages and contextual collaboration.","39","2","3"
"resources/js/pages/ClientCommerce.tsx","client-commerce","ClientCommerce","clients-commerce","RENAME","Client Billing & Payments","Client invoices, payment actions and recurring billing.","0","1","6"
"resources/js/pages/Clients.tsx","clients","Clients","clients-commerce","KEEP","Clients","Client records, portal and account relationships.","1","2","32"
"resources/js/pages/Devices.tsx","devices","Devices","workforce-operations","MOVE","Devices & Agents","Desktop/browser enrollment and device operations.","3","0","36"
"resources/js/pages/Documents.tsx","documents","Documents","content-studio","KEEP","Document Studio","Templates, generated documents, review and signing.","6","0","2"
"resources/js/pages/Downloads.tsx","downloads","Downloads","account-support","MOVE","Installation Center","Desktop/browser installers and setup guidance.","1","0","42"
"resources/js/pages/EmployeeProfile.tsx","","EmployeeProfile","people-hr","KEEP","EmployeeProfile","People detail route reached from the directory.","5","0","79"
"resources/js/pages/Enterprise.tsx","enterprise","Enterprise","administration","MOVE","Enterprise Governance","Identity, SCIM, security and governance controls.","0","0","27"
"resources/js/pages/FieldWorkforce.tsx","field","FieldWorkforce","workforce-operations","MOVE","Field Workforce","Field work orders, checkpoints, forms and incidents.","0","0","17"
"resources/js/pages/FinanceOps.tsx","finance","FinanceOps","finance-payroll","RENAME","Expenses & Procurement","Expenses, procurement, cost centers and job costing.","0","0","15"
"resources/js/pages/Hris.tsx","hris","Hris","people-hr","MOVE","HRIS","Employee records, documents, lifecycle and assets.","1","0","26"
"resources/js/pages/Insights.tsx","insights","Insights","intelligence","RENAME","Workforce Intelligence","Explainable workforce and staffing signals.","1","0","34"
"resources/js/pages/Leave.tsx","leave","Leave","time-attendance","MOVE","Leave","Leave requests, balances and policy workflows.","3","0","36"
"resources/js/pages/Live.tsx","live","Live","home","MOVE","Live Workforce","Detailed real-time workforce state; summary belongs on Home.","1","0","50"
"resources/js/pages/MarketingWebsite.tsx","","MarketingWebsite","public-experience","KEEP","MarketingWebsite","Public marketing surface.","3","0","51"
"resources/js/pages/MediaLibrary.tsx","media","MediaLibrary","content-studio","KEEP","Media Library","Reusable digital assets and upload workflows.","3","1","2"
"resources/js/pages/Modules.tsx","modules","Modules","administration","KEEP","Modules","Workspace capability enablement and module dependencies.","0","0","20"
"resources/js/pages/MyAccess.tsx","account","MyAccess","account-support","MOVE","My Account","Personal profile, security and access details.","0","0","29"
"resources/js/pages/Organization.tsx","organization","Organization","people-hr","MOVE","Organization","Departments, teams and reporting structure.","1","1","16"
"resources/js/pages/Overview.tsx","overview","Overview","home","KEEP","Home","Workspace command center and personalized summary.","2","0","8"
"resources/js/pages/Payroll.tsx","payroll","Payroll","finance-payroll","KEEP","Payroll","Payroll calculations, approvals and pay history.","4","1","65"
"resources/js/pages/PayrollCompliance.tsx","payroll-compliance","PayrollCompliance","finance-payroll","MOVE","Payroll Compliance","Compliance, exports, benefits and contractors.","0","0","18"
"resources/js/pages/People.tsx","people","People","people-hr","KEEP","People","People directory and workforce identity.","1","0","42"
"resources/js/pages/Performance.tsx","performance","Performance","people-hr","MOVE","Performance","Goals, reviews, learning and growth.","0","0","23"
"resources/js/pages/Platform.tsx","platform","Platform","platform-console","MOVE","Platform Workspace Tools","Platform-only operations; remove from tenant workspace navigation.","0","1","34"
"resources/js/pages/Projects.tsx","projects","Projects","work-management","KEEP","Projects","Project portfolio and delivery context.","2","1","44"
"resources/js/pages/Reports.tsx","reports","Reports","intelligence","MOVE","Reports","Saved reports, scheduled reports and exports.","2","1","39"
"resources/js/pages/Scheduling.tsx","","Scheduling","time-attendance","REMOVE","Scheduling","Legacy duplicate scheduling implementation; no canonical sidebar route should target it.","1","0","25"
