role,module,page,label_key
employee,home,overview,
employee,work-management,approvals,navigation.my_requests
employee,work-management,projects,
employee,work-management,tasks,navigation.my_tasks
employee,collaboration,chat,
employee,time-attendance,schedule,navigation.my_schedule
employee,time-attendance,attendance,navigation.my_attendance
employee,time-attendance,leave,navigation.my_leave
employee,time-attendance,time,navigation.my_timesheets
employee,people-hr,organization,
employee,people-hr,performance,navigation.my_growth
employee,workforce-operations,activity,navigation.my_activity
employee,workforce-operations,screenshots,navigation.my_screenshots
employee,workforce-operations,field,navigation.my_field_work
employee,finance-payroll,payroll,navigation.my_pay
employee,finance-payroll,finance,navigation.my_expenses
employee,intelligence,insights,navigation.my_intelligence
employee,account-support,downloads,
employee,account-support,account,
payroll-manager,work-management,approvals,
payroll-manager,work-management,automations,navigation.automation_runs
payroll-manager,collaboration,chat,
payroll-manager,time-attendance,attendance,
payroll-manager,time-attendance,time,navigation.approved_time
payroll-manager,people-hr,people,
payroll-manager,people-hr,performance,
payroll-manager,content-studio,documents,
payroll-manager,content-studio,media,
payroll-manager,finance-payroll,payroll,navigation.payroll_runs
payroll-manager,finance-payroll,finance,navigation.expense_reimbursements
payroll-manager,finance-payroll,payroll-compliance,
payroll-manager,intelligence,insights,
payroll-manager,intelligence,reports,
payroll-manager,account-support,downloads,
payroll-manager,account-support,account,
hr,work-management,approvals,
hr,work-management,automations,navigation.automation_runs
hr,collaboration,chat,
hr,time-attendance,schedule,
hr,time-attendance,attendance,navigation.team_attendance
hr,time-attendance,leave,
hr,time-attendance,time,
hr,people-hr,people,
hr,people-hr,hris,
hr,people-hr,organization,
hr,people-hr,performance,
hr,workforce-operations,devices,
hr,content-studio,documents,
hr,content-studio,media,
hr,finance-payroll,finance,
hr,intelligence,insights,
hr,intelligence,reports,
hr,account-support,downloads,
hr,account-support,account,
manager,home,overview,
manager,home,live,navigation.live_team
manager,work-management,approvals,
manager,work-management,projects,
manager,work-management,tasks,navigation.team_tasks
manager,work-management,automations,navigation.automation_runs
manager,collaboration,chat,
manager,time-attendance,schedule,navigation.team_schedule
manager,time-attendance,attendance,navigation.team_attendance
manager,time-attendance,leave,navigation.team_leave
manager,time-attendance,time,navigation.team_timesheets
manager,people-hr,people,
manager,people-hr,performance,
manager,workforce-operations,activity,navigation.team_activity
manager,workforce-operations,apps,
manager,workforce-operations,screenshots,navigation.team_screenshots
manager,workforce-operations,field,
manager,content-studio,documents,
manager,finance-payroll,finance,
manager,intelligence,insights,navigation.team_intelligence
manager,intelligence,reports,
manager,account-support,downloads,
manager,account-support,account,
owner,home,overview,
owner,home,live,
owner,work-management,approvals,
owner,work-management,projects,
owner,work-management,tasks,
owner,work-management,automations,
owner,collaboration,chat,
owner,time-attendance,schedule,
owner,time-attendance,attendance,
owner,time-attendance,leave,
owner,time-attendance,time,
owner,people-hr,people,
owner,people-hr,hris,
owner,people-hr,organization,
owner,people-hr,performance,
owner,workforce-operations,activity,
owner,workforce-operations,apps,
owner,workforce-operations,screenshots,
owner,workforce-operations,field,
owner,workforce-operations,devices,
owner,clients-commerce,clients,
owner,clients-commerce,client-commerce,
owner,content-studio,website,
owner,content-studio,documents,
owner,content-studio,media,
owner,finance-payroll,finance,
owner,finance-payroll,payroll,
owner,finance-payroll,payroll-compliance,
owner,finance-payroll,billing,
owner,intelligence,insights,
owner,intelligence,reports,
owner,administration,modules,
owner,administration,enterprise,
owner,administration,access,
owner,administration,settings,
owner,administration,trash,
owner,account-support,downloads,
owner,account-support,account,
