"file","target","decision","description"
"api.php","multiple","SPLIT","Legacy mixed API registry; progressively move domain routes into owned module route files."
"automation.php","work-management","MOVE",""
"chat.php","collaboration","MOVE",""
"commerce.php","clients-commerce","MOVE",""
"documents.php","content-studio","MOVE",""
"enterprise.php","administration","MOVE",""
"finance_ops.php","finance-payroll","MOVE",""
"hris.php","people-hr","MOVE",""
"intelligence.php","intelligence","MOVE",""
"mobile_field.php","workforce-operations","MOVE",""
"payroll_compliance.php","finance-payroll","MOVE",""
"performance.php","people-hr","MOVE",""
"platform.php","platform-console","MOVE",""
"website.php","content-studio","MOVE",""
"web.php","public-experience","KEEP",""
"channels.php","collaboration","KEEP",""
"console.php","administration","KEEP",""
