"current_module","target_module","decision"
"people","people-hr","MAP"
"organization","people-hr","MAP"
"projects","work-management","MAP"
"tasks","work-management","MAP"
"time","time-attendance","MAP"
"attendance","time-attendance","MAP"
"scheduling","time-attendance","MAP"
"approvals","work-management","MAP"
"activity","workforce-operations","MAP"
"screenshots","workforce-operations","MAP"
"devices","workforce-operations","MAP"
"clients","clients-commerce","MAP"
"hris","people-hr","MAP"
"performance","people-hr","MAP"
"payroll","finance-payroll","MAP"
"payroll-compliance","finance-payroll","MAP"
"finance","finance-payroll","MAP"
"reports","intelligence","MAP"
"documents","content-studio","MAP"
"website","content-studio","MAP"
"chat","collaboration","MAP"
"intelligence","intelligence","KEEP"
"field","workforce-operations","MAP"
"automations","work-management","MAP"
"enterprise","administration","MAP"
"platform","platform-console","MAP"
