"role","group","page_id","current_label_key","target","decision","target_label"
"employee","home","overview","","home","KEEP","Home"
"employee","collaboration","chat","","collaboration","KEEP","Chat"
"employee","collaboration","approvals","navigation.my_requests","work-management","MOVE","Approvals"
"employee","work","projects","","work-management","KEEP","Projects"
"employee","work","tasks","navigation.my_tasks","work-management","KEEP","Tasks"
"employee","time-attendance","schedule","navigation.my_schedule","time-attendance","RENAME","Scheduling"
"employee","time-attendance","attendance","navigation.my_attendance","time-attendance","KEEP","Attendance"
"employee","time-attendance","leave","navigation.my_leave","time-attendance","MOVE","Leave"
"employee","time-attendance","time","navigation.my_timesheets","time-attendance","RENAME","Timesheets"
"employee","people","organization","","people-hr","MOVE","Organization"
"employee","people","performance","navigation.my_growth","people-hr","MOVE","Performance"
"employee","operations","activity","navigation.my_activity","workforce-operations","MOVE","Activity Tracking"
"employee","operations","screenshots","navigation.my_screenshots","workforce-operations","MOVE","Screenshots"
"employee","operations","field","navigation.my_field_work","workforce-operations","MOVE","Field Workforce"
"employee","money","payroll","navigation.my_pay","finance-payroll","KEEP","Payroll"
"employee","money","finance","navigation.my_expenses","finance-payroll","RENAME","Expenses & Procurement"
"employee","insights","insights","navigation.my_intelligence","intelligence","RENAME","Workforce Intelligence"
"employee","account","downloads","","account-support","MOVE","Installation Center"
"employee","account","account","","account-support","MOVE","My Account"
"payroll-manager","collaboration","chat","","collaboration","KEEP","Chat"
"payroll-manager","collaboration","approvals","","work-management","MOVE","Approvals"
"payroll-manager","money","payroll","navigation.payroll_runs","finance-payroll","KEEP","Payroll"
"payroll-manager","money","finance","navigation.expense_reimbursements","finance-payroll","RENAME","Expenses & Procurement"
"payroll-manager","money","payroll-compliance","","finance-payroll","MOVE","Payroll Compliance"
"payroll-manager","people","people","","people-hr","KEEP","People"
"payroll-manager","people","performance","","people-hr","MOVE","Performance"
"payroll-manager","time-attendance","attendance","","time-attendance","KEEP","Attendance"
"payroll-manager","time-attendance","time","navigation.approved_time","time-attendance","RENAME","Timesheets"
"payroll-manager","operations","automations","navigation.automation_runs","work-management","MOVE","Automations"
"payroll-manager","content","documents","","content-studio","KEEP","Document Studio"
"payroll-manager","content","media","","content-studio","KEEP","Media Library"
"payroll-manager","insights","insights","","intelligence","RENAME","Workforce Intelligence"
"payroll-manager","insights","reports","","intelligence","MOVE","Reports"
"payroll-manager","account","downloads","","account-support","MOVE","Installation Center"
"payroll-manager","account","account","","account-support","MOVE","My Account"
"hr","collaboration","chat","","collaboration","KEEP","Chat"
"hr","collaboration","approvals","","work-management","MOVE","Approvals"
"hr","people","people","","people-hr","KEEP","People"
"hr","people","hris","","people-hr","MOVE","HRIS"
"hr","people","organization","","people-hr","MOVE","Organization"
"hr","people","performance","","people-hr","MOVE","Performance"
"hr","time-attendance","schedule","","time-attendance","RENAME","Scheduling"
"hr","time-attendance","attendance","navigation.team_attendance","time-attendance","KEEP","Attendance"
"hr","time-attendance","leave","","time-attendance","MOVE","Leave"
"hr","time-attendance","time","","time-attendance","RENAME","Timesheets"
"hr","operations","devices","","workforce-operations","MOVE","Devices & Agents"
"hr","operations","automations","navigation.automation_runs","work-management","MOVE","Automations"
"hr","content","documents","","content-studio","KEEP","Document Studio"
"hr","content","media","","content-studio","KEEP","Media Library"
"hr","money","finance","","finance-payroll","RENAME","Expenses & Procurement"
"hr","insights","insights","","intelligence","RENAME","Workforce Intelligence"
"hr","insights","reports","","intelligence","MOVE","Reports"
"hr","account","downloads","","account-support","MOVE","Installation Center"
"hr","account","account","","account-support","MOVE","My Account"
"manager","home","overview","","home","KEEP","Home"
"manager","home","live","navigation.live_team","home","MOVE","Live Workforce"
"manager","collaboration","chat","","collaboration","KEEP","Chat"
"manager","collaboration","approvals","","work-management","MOVE","Approvals"
"manager","work","projects","","work-management","KEEP","Projects"
"manager","work","tasks","navigation.team_tasks","work-management","KEEP","Tasks"
"manager","work","automations","navigation.automation_runs","work-management","MOVE","Automations"
"manager","time-attendance","schedule","navigation.team_schedule","time-attendance","RENAME","Scheduling"
"manager","time-attendance","attendance","navigation.team_attendance","time-attendance","KEEP","Attendance"
"manager","time-attendance","leave","navigation.team_leave","time-attendance","MOVE","Leave"
"manager","time-attendance","time","navigation.team_timesheets","time-attendance","RENAME","Timesheets"
"manager","people","people","","people-hr","KEEP","People"
"manager","people","performance","","people-hr","MOVE","Performance"
"manager","operations","activity","navigation.team_activity","workforce-operations","MOVE","Activity Tracking"
"manager","operations","apps","","workforce-operations","RENAME","Apps & Websites"
"manager","operations","screenshots","navigation.team_screenshots","workforce-operations","MOVE","Screenshots"
"manager","operations","field","","workforce-operations","MOVE","Field Workforce"
"manager","content","documents","","content-studio","KEEP","Document Studio"
"manager","money","finance","","finance-payroll","RENAME","Expenses & Procurement"
"manager","insights","insights","navigation.team_intelligence","intelligence","RENAME","Workforce Intelligence"
"manager","insights","reports","","intelligence","MOVE","Reports"
"manager","account","downloads","","account-support","MOVE","Installation Center"
"manager","account","account","","account-support","MOVE","My Account"
"owner","home","overview","","home","KEEP","Home"
"owner","home","live","","home","MOVE","Live Workforce"
"owner","collaboration","chat","","collaboration","KEEP","Chat"
"owner","collaboration","approvals","","work-management","MOVE","Approvals"
"owner","work","projects","","work-management","KEEP","Projects"
"owner","work","tasks","","work-management","KEEP","Tasks"
"owner","work","automations","","work-management","MOVE","Automations"
